pid,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Chất liệu,Cân nặng
340484,51 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.7 kg
314630,50 Wh,Windows 11 Home SL,2023,Vỏ nhựa - nắp lưng bằng kim loại,1.7 kg
337475,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
340004,53.5 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.3 kg
340558,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
334795,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
327896,90 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.2 kg
340478,41.04 Wh,Windows 11 Home SL,2023,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,1.7 kg
337473,41 Wh,Windows 11 Home SL,2021,Vỏ nhựa,1.9 kg
333421,58 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
