Card màn hình,data_id,Số nhân GPU,Công suất đồ hoạ - TGP,Hiệu năng xử lý AI (TOPS)
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",318354,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",325586,,,
"['Card tích hợp - Intel Arc 140V', 'Card tích hợp']",338280,,,
"['Card tích hợp - AMD Radeon 680M Graphics', 'Card tích hợp']",335549,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",325051,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",339686,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",328946,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",331526,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",302533,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",325480,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",328473,,,
"['Card rời - NVIDIA Geforce MX570A, 2 GB', 'Card rời']",328947,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",327508,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",342514,,,
"['Card rời - NVIDIA GeForce RTX 4060, 8 GB', 'Card rời']",325588,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",329867,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",322098,,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",339953,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",339211,2560 CUDA Cores,75 W,Lên đến 194 TOPS
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",329858,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",331527,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",309565,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",333098,,,
"['Card rời - NVIDIA GeForce RTX 4060, 8 GB', 'Card rời']",327901,,,
"['Card rời - NVIDIA GeForce RTX 4060, 8 GB', 'Card rời']",327900,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",326194,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",339661,,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",313332,,,
"['Card rời - NVIDIA GeForce RTX 5060, 8 GB', 'Card rời']",339647,3840 CUDA Cores,,Lên đến 572 TOPS
"['Card tích hợp - Intel Arc Graphics 130V', 'Card tích hợp']",332397,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",328945,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",312414,,,
"['Card rời - NVIDIA GeForce RTX 4060, 8 GB', 'Card rời']",327899,,,
"['Card tích hợp - Integrated Graphics', 'Card tích hợp', 'Integrated Graphics']",342501,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",333873,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",322003,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",335550,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",340006,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",335832,,,
"['Card rời - NVIDIA Geforce MX570A, 2 GB', 'Card rời']",339680,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",341266,,,
"['Card tích hợp - Qualcomm Adreno GPU', 'Card tích hợp']",334800,,,
"['Card rời - NVIDIA GeForce RTX 4060, 8 GB', 'Card rời']",339212,3072 CUDA Cores,75 W,Lên đến 233 TOPS
"['Card rời - NVIDIA GeForce RTX 5060, 8 GB', 'Card rời']",339690,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",337237,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",322959,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",334796,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",341623,,,
